"","Year","Foundations","Grants","Assets","Constant_Grants","Constant_Assets"
"1",2005,71097,36.402,550.553,45.7,691
"2",2006,72477,39.004,614.656,47.4,747.3
"3",2007,75187,44.394,682.222,52.5,806.5
"4",2008,75592,46.77,564.951,53.2,643.2
"5",2009,76545,45.778,590.188,52.3,674.3
"6",2010,76610,45.858,643.974,51.5,723.9
"7",2011,81777,48.999,662.336,53.4,721.8
"8",2012,86192,51.824,715.456,55.3,763.8
"9",2013,87142,55.263,798.176,58.1,839.8
"10",2014,86726,60.244,865.25,62.4,895.9
"11",2015,86203,62.793,890.061,64.9,920.5
"12",2016,85987,68.948,907.625,70.4,927
"13",2017,86125,77.721,1012.903,77.7,1012.9
