"","type","hours","AsPct"
"1","Administrative and support",255399148025.961,28.7
"2","Social service and care",217618752763.355,24.5
"3","Maintenance, building, and cleanup",55898143043.9649,6.3
"4","Performing and cultural activities",57030772253.877,6.4
"5","Meetings, conferences, and training",102320202015.245,11.5
"6","Public health and safety",2035651085.74263,0.2
"7","Waiting",1382484334.61328,0.2
"8","Security Procedures",260041584.85026,0
"9","Travel",92625513832.3628,10.4
"10","Other",104560306140.41,11.8
"11","Total",889131015080.382,100
