"","year_of_data","NTEEGRP","Number_of_Orgs","Numbers_PCT","Revenue","Expenses","Assets","Revenue_PCT","Expenses_PCT","Assets_PCT"
"1","2016","All public charities",318015,100.1,2041.5,1937.3,3793.7,100,100,100
"2","2016","Arts",31894,10,40.2,36.9,132.9,2,1.9,3.5
"3","2016","Education",54632,17.2,353.8,327.9,1144.8,17.3,16.9,30.2
"4","2016","Higher education",2161,0.7,226.4,213.4,740.6,11.1,11,19.5
"5","2016","Other education",52471,16.5,127.4,114.5,404.2,6.2,5.9,10.7
"6","2016","Environment and animals",14932,4.7,19.8,17.2,50.8,1,0.9,1.3
"7","2016","Health",38853,12.2,1208.5,1167.8,1643.1,59.2,60.3,43.3
"8","2016","Hospitals and primary care facilities",7054,2.2,1016,980.1,1339.1,49.8,50.6,35.3
"9","2016","Other health care",31799,10,192.5,187.7,304,9.4,9.7,8
"10","2016","Human services",111797,35.2,243,234.5,371.4,11.9,12.1,9.8
"11","2016","International",6956,2.2,39.7,35.9,44.6,1.9,1.9,1.2
"12","2016","Other public and social benefit",38071,12,117.1,99.3,369,5.7,5.1,9.7
"13","2016","Religion related",20880,6.6,19.4,17.8,37.1,1,0.9,1
