"","year_of_data","NTEEGRP","Number_of_Orgs_2006","Number_of_Orgs_2011","Number_of_Orgs_2016","Revenue_2006","Revenue_2011","Revenue_2016","Expenses_2006","Expenses_2011","Expenses_2016","Assets_2006","Assets_2011","Assets_2016"
"1","2016","All public charities",326246,287318,318015,1536.4,1698.5,2041.5,1394.5,1596.7,1937.3,2705.2,3015.7,3793.7
"2","2016","Arts",36065,28579,31894,35.4,32.5,40.2,29,29.8,36.9,106.1,107.6,132.9
"3","2016","Education",58663,49223,54632,273.7,286.8,353.8,225.1,259.8,327.9,835.8,906.8,1144.8
"4","2016","Higher education",1933,2013,2161,179.1,186.5,226.4,147.7,169.4,213.4,557.2,585.6,740.6
"5","2016","Other education",56730,47210,52471,94.6,100.3,127.4,77.4,90.4,114.5,278.6,321.2,404.2
"6","2016","Environment and animals",13565,12547,14932,14.6,15.8,19.8,11.9,14.2,17.2,34.9,38.2,50.8
"7","2016","Health",41753,37828,38853,877.1,1008,1208.5,826.7,957.8,1167.8,1083.6,1284.3,1643.1
"8","2016","Hospitals and primary care facilities",7266,7093,7054,739.7,854.5,1016,702.3,811.7,980.1,858.6,1040.1,1339.1
"9","2016","Other health care",34487,30735,31799,137.4,153.5,192.5,124.4,146.1,187.7,225,244.2,304
"10","2016","Human services",110226,102321,111797,198.3,215.4,243,187.3,208.4,234.5,291.3,322.3,371.4
"11","2016","International",5999,6047,6956,31,30.8,39.7,28.1,30,35.9,31.7,31.9,44.6
"12","2016","Other public and social benefit",40029,33365,38071,93.1,94.7,117.1,74.9,83.5,99.3,292.5,292.7,369
"13","2016","Religion related",19946,17408,20880,13.2,14.5,19.4,11.5,13.2,17.8,29.3,31.9,37.1
