"","year_of_data","NTEEGRP","Revenue_2006_–_2016","Revenue_2006_–_2011","Revenue_2011_–_2016","Expenses_2006_–_2016","Expenses_2006_–_2011","Expenses_2011_–_2016","Assets_2006_–_2016","Assets_2006_–_2011","Assets_2011_–_2016"
"1","2016","All public charities",32.9,10.6,20.2,38.9,14.5,21.3,40.2,11.5,25.8
"2","2016","Arts",13.6,-8.2,23.7,27.2,2.8,23.8,25.3,1.4,23.5
"3","2016","Education",29.3,4.8,23.4,45.7,15.4,26.2,37,8.5,26.2
"4","2016","Higher education",26.4,4.1,21.4,44.5,14.7,26,32.9,5.1,26.5
"5","2016","Other education",34.7,6,27,47.9,16.8,26.7,45.1,15.3,25.8
"6","2016","Environment and animals",35.6,8.2,25.3,44.5,19.3,21.1,45.6,9.5,33
"7","2016","Health",37.8,14.9,19.9,41.3,15.9,21.9,51.6,18.5,27.9
"8","2016","Hospitals and primary care facilities",37.4,15.5,18.9,39.6,15.6,20.7,56,21.1,28.7
"9","2016","Other health care",40.1,11.7,25.4,50.9,17.4,28.5,35.1,8.5,24.5
"10","2016","Human services",22.5,8.6,12.8,25.2,11.3,12.5,27.5,10.6,15.2
"11","2016","International",28.1,-0.6,28.9,27.8,6.8,19.7,40.7,0.6,39.8
"12","2016","Other public and social benefit",25.8,1.7,23.7,32.6,11.5,18.9,26.2,0.1,26.1
"13","2016","Religion related",47,9.8,33.8,54.8,14.8,34.8,26.6,8.9,16.3
