"","\_","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"1","Per year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Percent of population volunteering","26.4","26.8","26.3","26.8","26.5","25.4","25.3","24.9","25.2","25.1"
"3","Number of volunteers (millions)","61.8","63.4","62.8","64.3","64.5","62.6","62.8","62.6","63.9","64.4"
"4","Hours volunteered (billions)","8","8.1","8.1","8.5","8.5","8.3","8.7","8.5","8.7","8.8"
"5","Average hours per volunteer","130","128","129","132","132","133","139","136","136","137"
"6","Median hours per volunteer","52","52","52","51","50","50","50","52","--","--"
"7","Per average day",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Percent of population volunteering","6.8","7.1","6.8","6","5.8","6.1","6.4","6.4","5.6","6"
"9","Number of volunteers (millions)","16.2","17.1","16.6","14.6","14.3","15.1","16","16.3","14.4","15.6"
"10","Hours per day per volunteer","2.43","2.39","2.46","2.84","2.48","2.57","2.41","2.49","2.39","2.86"
"11","Value of volunteers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Population age 16 and over (millions)","234.4","236.3","238.3","240","243.8","246.2","248.4","251.3","253.6","256"
"13","Full-time-equivalent employees (millions)","4.7","4.8","4.8","5","5","4.9","5.1","5","5.1","5.2"
"14","Assigned hourly wages for volunteers","$18.08","$18.63","$19.07","$19.47","$19.75","$20.16","$20.59","$21.08","$21.63","$22.13"
"15","Assigned value of volunteer time (\$ billions)","$144.70","$150.70","$154.10","$164.80","$168.30","$167.20","$179.20","$179.00","$187.40","$195.00"
